record_id,hostname,type,current_cloudflare_value,cloudflare_proxy_state,current_ttl,purpose,criticality,route53_value,route53_ttl,route53_routing_policy,pre_cutover_verified,post_cutover_verified,owner,notes
DNS-001,guidedscholar.ai,A_or_ALIAS,REPLACE_FROM_CLOUDFLARE_EXPORT,RECORD_PROXY_STATE,RECORD_TTL,Guided Scholar apex,critical,REPLACE_WITH_ACCEPTED_AWS_TARGET,PLANNED_TTL,simple,no,no,Platform Owner,Confirm whether apex currently uses A CNAME flattening or another provider-specific behavior
DNS-002,www.guidedscholar.ai,CNAME,REPLACE_FROM_CLOUDFLARE_EXPORT,RECORD_PROXY_STATE,RECORD_TTL,Guided Scholar web alias,high,REPLACE_WITH_ACCEPTED_TARGET,PLANNED_TTL,simple,no,no,Platform Owner,Verify redirect or application behavior separately
DNS-003,app.guidedscholar.ai,CNAME,REPLACE_FROM_CLOUDFLARE_EXPORT,RECORD_PROXY_STATE,RECORD_TTL,Guided Scholar application,critical,REPLACE_WITH_ACCEPTED_AWS_TARGET,PLANNED_TTL,simple,no,no,Platform Owner,Record exact ALB or distribution target and certificate coverage
DNS-004,planner.guidedscholar.ai,CNAME,REPLACE_WITH_TPP_ALB_DNS,DNS_ONLY,RECORD_TTL,Teacher Planning Platform application,critical,REPLACE_WITH_TPP_ALB_DNS,PLANNED_TTL,simple,no,no,Platform Owner,Do not migrate independently from the parent zone
DNS-005,REPLACE_ACM_VALIDATION_NAME,CNAME,REPLACE_ACM_VALIDATION_VALUE,DNS_ONLY,RECORD_TTL,TPP ACM DNS validation,critical,REPLACE_ACM_VALIDATION_VALUE,PLANNED_TTL,simple,no,no,Platform Owner,Keep permanently for ACM managed renewal
DNS-006,REPLACE_GS_ACM_VALIDATION_NAME,CNAME,REPLACE_GS_ACM_VALIDATION_VALUE,DNS_ONLY,RECORD_TTL,Guided Scholar ACM DNS validation,critical,REPLACE_GS_ACM_VALIDATION_VALUE,PLANNED_TTL,simple,no,no,Platform Owner,Inventory every certificate-validation record
DNS-007,guidedscholar.ai,MX,REPLACE_FROM_CLOUDFLARE_EXPORT,DNS_ONLY,RECORD_TTL,Domain email routing,critical,REPLACE_EXACTLY,PLANNED_TTL,simple,no,no,Platform Owner,One row per MX priority and target is preferred in completed inventory
DNS-008,guidedscholar.ai,TXT,REPLACE_SPF_VALUE,DNS_ONLY,RECORD_TTL,SPF email authorization,critical,REPLACE_EXACTLY,PLANNED_TTL,simple,no,no,Platform Owner,Preserve as one valid SPF policy; do not create multiple SPF records
DNS-009,REPLACE_DKIM_SELECTOR._domainkey.guidedscholar.ai,CNAME_or_TXT,REPLACE_DKIM_VALUE,DNS_ONLY,RECORD_TTL,DKIM email signing,critical,REPLACE_EXACTLY,PLANNED_TTL,simple,no,no,Platform Owner,Create one inventory row per selector
DNS-010,_dmarc.guidedscholar.ai,TXT,REPLACE_DMARC_VALUE,DNS_ONLY,RECORD_TTL,DMARC policy and reporting,critical,REPLACE_EXACTLY,PLANNED_TTL,simple,no,no,Platform Owner,Preserve report destinations and policy
DNS-011,guidedscholar.ai,CAA,REPLACE_FROM_CLOUDFLARE_EXPORT,DNS_ONLY,RECORD_TTL,Certificate authority authorization,high,REPLACE_EXACTLY,PLANNED_TTL,simple,no,no,Platform Owner,Confirm Amazon Trust Services is permitted before ACM issuance or renewal
DNS-012,REPLACE_SUPABASE_VERIFICATION_NAME,TXT_or_CNAME,REPLACE_SUPABASE_VALUE,DNS_ONLY,RECORD_TTL,Supabase verification or custom-domain support,high,REPLACE_EXACTLY,PLANNED_TTL,simple,no,no,Platform Owner,Include only if present in authoritative Cloudflare zone
DNS-013,REPLACE_GOOGLE_VERIFICATION_NAME,TXT_or_CNAME,REPLACE_GOOGLE_VALUE,DNS_ONLY,RECORD_TTL,Google ownership or OAuth verification,high,REPLACE_EXACTLY,PLANNED_TTL,simple,no,no,Platform Owner,Preserve all Google verification records
DNS-014,REPLACE_OTHER_HOSTNAME,REPLACE_TYPE,REPLACE_FROM_CLOUDFLARE_EXPORT,RECORD_PROXY_STATE,RECORD_TTL,Other production or verification dependency,RECORD_CRITICALITY,REPLACE_EXACTLY,PLANNED_TTL,simple,no,no,Platform Owner,Duplicate this row for every remaining Cloudflare record
